Code,Family,Wind sector,Distance (miles),Order,Mark,Side,Rounding
A1,A,N-NNE,2.2,1,Ballast Hole,S,
A1,A,N-NNE,2.2,2,Mumbys,P,
A1,A,N-NNE,2.2,3,Topper,P,
A1,A,N-NNE,2.2,4,Northey Point,S,
A1,A,N-NNE,2.2,5,Millbeach,P,
A1,A,N-NNE,2.2,6,Club Line Gate,P,
A1,A,N-NNE,2.2,7,Lock,P,
A1,A,N-NNE,2.2,8,Boundary,P,
A1,A,N-NNE,2.2,9,Finish,,
A2,A,N-NNE,3.0,1,Ballast Hole,S,
A2,A,N-NNE,3.0,2,Clarks,P,
A2,A,N-NNE,3.0,3,Sandy Bight,P,
A2,A,N-NNE,3.0,4,Mumbys,P,
A2,A,N-NNE,3.0,5,Muddy Cove,P,
A2,A,N-NNE,3.0,6,Topper,P,
A2,A,N-NNE,3.0,7,Millbeach,P,
A2,A,N-NNE,3.0,8,Club Line Gate,,
A2,A,N-NNE,3.0,9,Lock,P,
A2,A,N-NNE,3.0,10,Boundary,P,
A2,A,N-NNE,3.0,11,Finish,,
A3,A,N-NNE,4.2,1,Ballast Hole,S,
A3,A,N-NNE,4.2,2,Midway,P,
A3,A,N-NNE,4.2,3,Osea Road,P,
A3,A,N-NNE,4.2,4,Midway,P,
A3,A,N-NNE,4.2,5,Osea Road,P,
A3,A,N-NNE,4.2,6,Northey Point,S,
A3,A,N-NNE,4.2,7,Millbeach,P,
A3,A,N-NNE,4.2,8,Club Line Gate,,
A3,A,N-NNE,4.2,9,Lock,P,
A3,A,N-NNE,4.2,10,Boundary,P,
A3,A,N-NNE,4.2,11,Finish,,
A4,A,N-NNE,5.3,1,Ballast Hole,S,
A4,A,N-NNE,5.3,2,Mundon,P,
A4,A,N-NNE,5.3,3,Shambles,P,
A4,A,N-NNE,5.3,4,Muddy Cove,P,
A4,A,N-NNE,5.3,5,Midway,P,
A4,A,N-NNE,5.3,6,Osea Road,P,
A4,A,N-NNE,5.3,7,Northey Point,S,
A4,A,N-NNE,5.3,8,Millbeach,P,
A4,A,N-NNE,5.3,9,Club Line Gate,,
A4,A,N-NNE,5.3,10,Lock,P,
A4,A,N-NNE,5.3,11,Boundary,P,
A4,A,N-NNE,5.3,12,Finish,,
A5,A,N-NNE,6.4,1,Ballast Hole,S,
A5,A,N-NNE,6.4,2,New Hall,P,
A5,A,N-NNE,6.4,3,Shambles,P,
A5,A,N-NNE,6.4,4,New Hall,P,
A5,A,N-NNE,6.4,5,Beacons,P,
A5,A,N-NNE,6.4,6,Northey Point,S,
A5,A,N-NNE,6.4,7,Millbeach,P,
A5,A,N-NNE,6.4,8,Club Line Gate,,
A5,A,N-NNE,6.4,9,Lock,P,
A5,A,N-NNE,6.4,10,Boundary,P,
A5,A,N-NNE,6.4,11,Finish,,
A6,A,N-NNE,8.9,1,Ballast Hole,S,
A6,A,N-NNE,8.9,2,Coopers Creek,P,
A6,A,N-NNE,8.9,3,Ford Creek,P,
A6,A,N-NNE,8.9,4,Kraken,S,
A6,A,N-NNE,8.9,5,Mundon,P,
A6,A,N-NNE,8.9,6,New Hall,P,
A6,A,N-NNE,8.9,7,Beacons,P,
A6,A,N-NNE,8.9,8,New Hall,P,
A6,A,N-NNE,8.9,9,West Point,P,
A6,A,N-NNE,8.9,10,Northey Point,S,
A6,A,N-NNE,8.9,11,Millbeach,P,
A6,A,N-NNE,8.9,12,Club Line Gate,,
A6,A,N-NNE,8.9,13,Lock,P,
A6,A,N-NNE,8.9,14,Boundary,P,
A6,A,N-NNE,8.9,15,Finish,,
AZ1,AZ,NNE-NE,2.3,1,Ballast Hole,S,
AZ1,AZ,NNE-NE,2.3,2,Muddy Cove,P,
AZ1,AZ,NNE-NE,2.3,3,Sandy Bight,P,
AZ1,AZ,NNE-NE,2.3,4,Northey Point,S,
AZ1,AZ,NNE-NE,2.3,5,Millbeach,P,
AZ1,AZ,NNE-NE,2.3,6,Club Line Gate,,
AZ1,AZ,NNE-NE,2.3,7,Lock,P,
AZ1,AZ,NNE-NE,2.3,8,Finish,,
AZ2,AZ,NNE-NE,3.3,1,Ballast Hole,S,
AZ2,AZ,NNE-NE,3.3,2,Clarks,P,
AZ2,AZ,NNE-NE,3.3,3,Osea Road,P,
AZ2,AZ,NNE-NE,3.3,4,Sandy Bight,P,
AZ2,AZ,NNE-NE,3.3,5,Clarks,P,
AZ2,AZ,NNE-NE,3.3,6,Osea Road,P,
AZ2,AZ,NNE-NE,3.3,7,Topper,P,
AZ2,AZ,NNE-NE,3.3,8,Northey Point,S,
AZ2,AZ,NNE-NE,3.3,9,Millbeach,P,
AZ2,AZ,NNE-NE,3.3,10,Club Line Gate,,
AZ2,AZ,NNE-NE,3.3,11,Lock,P,
AZ2,AZ,NNE-NE,3.3,12,Finish,,
